"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2018-09-07","D.J. Reyburn","CIN","SD","12","6","143","8","8.8","135","134.2","0.8","94.4","93.8","0.6","93","-0.93","1.59"
"","2018-09-07","Vic Carapazza","PIT","MIA","5","3","162","7","10.3","155","151.7","3.3","95.7","93.6","2","92","-0.08","0.94"
"","2018-09-07","Alan Porter","TOR","CLE","3","2","187","13","11","174","176","-2","93","94.1","-1.1","92","0.88","1.5"
"","2018-09-07","Brian O'Nora","BOS","HOU","3","6","168*","13*","12.5*","155*","155.5*","-0.5*","92.3*","92.6*","-0.3*","92.3*","0.74*","2.4*"
"","2018-09-07","Tony Randazzo","DET","STL","5","3","149","9","8.7","140","140.3","-0.3","94","94.2","-0.2","94","-0.19","0.73"
"","2018-09-07","Fieldin Culbreth","TB","BAL","14","2","182","8","10.4","174","171.6","2.4","95.6","94.3","1.3","97.3","0.48","0.74"
"","2018-09-07","Sean Barber","NYM","PHI","3","4","150","12","11","138","139","-1","92","92.7","-0.7","93.3","-0.41","1.33"
"","2018-09-07","Kerwin Danley","MIN","KC","10","6","193","9","11.8","184","181.2","2.8","95.3","93.9","1.4","92.7","-0.23","2.19"
"","2018-09-07","Hunter Wendelstedt","CWS","LAA","2","5","157","13","11.4","144","145.6","-1.6","91.7","92.7","-1","94.3","-0.7","1.84"
"","2018-09-07","Adam Hamari","MIL","SF","4","2","150","11","15.7","139","134.3","4.7","92.7","89.5","3.1","93.3","0.95","1.49"
"","2018-09-07","Andy Fletcher","COL","LAD","2","4","191","23","16","168","175","-7","88","91.6","-3.7","91.1","-0.47","4.73"
"","2018-09-07","Doug Eddings","AZ","ATL","5","3","183","9","9.7","174","173.3","0.7","95.1","94.7","0.4","95.1","-1.17","1.73"
"","2018-09-07","Ed Hickox","OAK","TEX","8","4","184","7","11.5","177","172.5","4.5","96.2","93.7","2.5","96.7","0.02","1.32"
"","2018-09-07","Jim Reynolds","SEA","NYY","0","4","120","4","6.5","116","113.5","2.5","96.7","94.6","2.1","97.5","-0.04","0.34"
